model,location,forecast_date,horizon,temporal_resolution,target_variable,target_end_date,type,quantile,value,location_name,population,geo_type,geo_value,abbreviation,full_location_name
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.01,7652.645220455868,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.025,7890.637354714319,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.05,8095.3237196951395,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.1,8331.313989607186,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.15,8490.535504350526,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.2,8617.079716843797,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.25,8725.64338345269,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.3,8823.136911368649,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.35,8913.479194422946,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.4,8999.20518645035,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.45,9082.146075835688,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.5,9163.771968755213,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.55,9245.397861674737,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.6,9328.338751060075,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.65,9414.06474308748,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.7,9504.407026141776,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.75,9601.900554057735,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.8,9710.464220666629,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.85,9837.0084331599,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.9,9996.229947903239,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.95,10232.220217815286,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.975,10436.906582796106,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,1,day,inc hosp,2021-02-16,quantile,0.99,10674.898717054557,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.01,7089.0840881367885,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.025,7383.762088426175,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.05,7637.201425431952,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.1,7929.400749758844,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.15,8126.546246662794,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.2,8283.23123796262,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.25,8417.653009001706,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.3,8538.367913874288,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.35,8650.22826335587,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.4,8756.372796166463,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.45,8859.068860061383,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.5,8960.136716662226,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.55,9061.204573263069,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.6,9163.900637157989,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.65,9270.045169968582,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.7,9381.905519450163,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.75,9502.620424322746,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.8,9637.042195361832,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.85,9793.727186661657,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.9,9990.872683565609,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-02-15,2,day,inc hosp,2021-02-17,quantile,0.95,10283.0720078925,United States,332875137,state,us,US,United States
