"","forecast_date","location","target","target_end_date","type","quantile","value"
"1",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.01,2419.09981864
"2",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.025,2777.38104819015
"3",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.05,3085.52267121471
"4",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.1,3440.79022797412
"5",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.15,3680.48756188319
"6",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.2,3870.99140431401
"7",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.25,4034.42673833587
"8",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.3,4181.19671946886
"9",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.35,4317.20098008828
"10",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.4,4446.25572353048
"11",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.45,4571.11768134918
"12",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.5,4694
"13",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.55,4816.88231865082
"14",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.6,4941.74427646952
"15",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.65,5070.79901991172
"16",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.7,5206.80328053114
"17",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.75,5353.57326166413
"18",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.8,5517.00859568599
"19",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.85,5707.51243811681
"20",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.9,5947.20977202588
"21",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.95,6302.47732878529
"22",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.975,6610.61895180985
"23",2020-12-12,"US","1  day ahead inc hosp",2020-12-13,"quantile",0.99,6968.90018136
"24",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.01,1476.80531047568
"25",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.025,1983.4914844492
"26",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.05,2419.26954686219
"27",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.1,2921.69374390251
"28",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.15,3260.67696438139
"29",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.2,3530.09008203123
"30",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.25,3761.22254797593
"31",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.3,3968.78664584344
"32",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.35,4161.12571575196
"33",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.4,4343.63668421649
"34",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.45,4520.21815838815
"35",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.5,4694
"36",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.55,4867.78184161185
"37",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.6,5044.36331578351
"38",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.65,5226.87428424804
"39",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.7,5419.21335415656
"40",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.75,5626.77745202407
"41",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.8,5857.90991796877
"42",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.85,6127.32303561861
"43",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.9,6466.30625609749
"44",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.95,6968.73045313781
"45",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.975,7404.5085155508
"46",2020-12-12,"US","2  day ahead inc hosp",2020-12-14,"quantile",0.99,7911.19468952432
"47",2020-12-12,"US","3  day ahead inc hosp",2020-12-15,"quantile",0.01,753.75730373683
"48",2020-12-12,"US","3  day ahead inc hosp",2020-12-15,"quantile",0.025,1374.31859671593
"49",2020-12-12,"US","3  day ahead inc hosp",2020-12-15,"quantile",0.05,1908.03554372121
"50",2020-12-12,"US","3  day ahead inc hosp",2020-12-15,"quantile",0.1,2523.37700230937
"51",2020-12-12,"US","3  day ahead inc hosp",2020-12-15,"quantile",0.15,2938.54496307869
"52",2020-12-12,"US","3  day ahead inc hosp",2020-12-15,"quantile",0.2,3268.50729720595
"53",2020-12-12,"US","3  day ahead inc hosp",2020-12-15,"quantile",0.25,3551.58559948381
"54",2020-12-12,"US","3  day ahead inc hosp",2020-12-15,"quantile",0.3,3805.79866383206
