"","forecast_date","location","target","target_end_date","type","quantile","value"
"1",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.01,907.32005743121
"2",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.025,1153.59467949393
"3",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.05,1365.40444091361
"4",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.1,1609.60753070965
"5",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.15,1774.37019603828
"6",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.2,1905.31833935868
"7",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.25,2017.66018648382
"8",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.3,2118.54663727295
"9",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.35,2212.03296901582
"10",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.4,2300.74235579149
"11",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.45,2386.56971412232
"12",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.5,2471.03631211273
"13",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.55,2555.50291010314
"14",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.6,2641.33026843398
"15",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.65,2730.03965520965
"16",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.7,2823.52598695252
"17",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.75,2924.41243774165
"18",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.8,3036.75428486678
"19",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.85,3167.70242818719
"20",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.9,3332.46509351581
"21",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.95,3576.66818331186
"22",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.975,3788.47794473154
"23",2021-06-05,"US","1  day ahead inc hosp",2021-06-06,"quantile",0.99,4034.75256679426
"24",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.01,384.84221522321
"25",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.025,714.046360288447
"26",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.05,997.180086535237
"27",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.1,1323.61513991285
"28",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.15,1543.85932067284
"29",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.2,1718.90241365826
"30",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.25,1869.07380130721
"31",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.3,2003.93234865783
"32",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.35,2128.8988907194
"33",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.4,2247.47991863103
"34",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.45,2362.20843546259
"35",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.5,2475.11797500467
"36",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.55,2588.02751454676
"37",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.6,2702.75603137832
"38",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.65,2821.33705928995
"39",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.7,2946.30360135152
"40",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.75,3081.16214870214
"41",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.8,3231.33353635109
"42",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.85,3406.37662933651
"43",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.9,3626.6208100965
"44",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.95,3953.05586347411
"45",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.975,4236.1895897209
"46",2021-06-05,"US","2  day ahead inc hosp",2021-06-07,"quantile",0.99,4565.39373478614
"47",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.01,207.850765444784
"48",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.025,564.929854108016
"49",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.05,872.037569650279
"50",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.1,1226.11309729806
"51",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.15,1465.00617482469
"52",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.2,1654.87081977818
"53",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.25,1817.75777927972
"54",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.3,1964.03530314523
"55",2021-06-05,"US","3  day ahead inc hosp",2021-06-08,"quantile",0.35,2099.58322871554
