forecast_date,location,target,target_end_date,type,quantile,value
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.01,4101.635553512476
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.025,4213.388327044107
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.05,4311.315016959269
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.1,4426.3257891454305
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.15,4505.212578983834
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.2,4568.657564895287
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.25,4623.619711452627
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.3,4673.398700621432
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.35,4719.88414932793
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.4,4764.314132211268
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.45,4807.598495381366
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.5,4850.483898240098
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.55,4893.6555774821845
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.6,4937.817294720775
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.65,4983.775363222524
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.7,5032.554658306405
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.75,5085.595972185326
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.8,5145.15218476478
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.85,5215.230723662995
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.9,5304.419693063033
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.95,5438.709357614864
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.975,5557.236430619559
2021-05-10,US,1  day ahead inc hosp,2021-05-11,quantile,0.99,5697.473825189969
2021-05-10,US,2  day ahead inc hosp,2021-05-12,quantile,0.01,3901.3412413045176
