model,location,forecast_date,horizon,temporal_resolution,target_variable,target_end_date,type,quantile,value,location_name,population,geo_type,geo_value,abbreviation,full_location_name
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.01,14250.42804504764,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.025,14454.66310296137,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.05,14630.316519979815,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.1,14832.833660274136,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.15,14969.471013378437,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.2,15078.066050133495,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.25,15171.230922183913,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.3,15254.895856666606,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.35,15332.423887032583,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.4,15405.990406367275,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.45,15477.166865201983,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.5,15547.21484817261,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.55,15617.262831143238,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.6,15688.439289977947,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.65,15762.005809312639,United States,332875137,state,us,US,United States
Base_arima_noTrans,US,2020-12-28,1,day,inc hosp,2020-12-29,quantile,0.7,15839.533839678614,United States,332875137,state,us,US,United States
