forecast_date,location,target,target_end_date,type,quantile,value
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.01,2917.8609235379986
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.025,3119.2037962111403
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.05,3292.3697743669836
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.1,3492.019056957987
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.15,3626.721480085042
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.2,3733.778695832714
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.25,3825.624254388975
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.3,3908.104404578817
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.35,3984.534555729311
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.4,4057.059295050352
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.45,4127.22781966543
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.5,4196.28384883268
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.55,4265.33987799993
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.6,4335.508402615007
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.65,4408.033141936048
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.7,4484.463293086543
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.75,4566.943443276385
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.8,4658.789001832645
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.85,4765.846217580318
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.9,4900.548640707373
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.95,5100.197923298376
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.975,5273.363901454219
2021-05-17,US,1  day ahead inc hosp,2021-05-18,quantile,0.99,5474.70677412736
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.01,2428.123051543756
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.025,2685.9280791471047
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.05,2907.654625439613
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.1,3163.291133084556
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.15,3335.7678711555573
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.2,3472.846914950525
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.25,3590.4485287771076
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.3,3696.058412624053
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.35,3793.921709027241
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.4,3886.784407241246
2021-05-17,US,2  day ahead inc hosp,2021-05-19,quantile,0.45,3976.6301424545463
