forecast_date,location,target,target_end_date,type,quantile,value
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.01,5095.365301003851
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.025,5274.50374733344
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.05,5432.315089329799
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.1,5618.627238050467
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.15,5747.01085168677
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.2,5850.605149425242
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.25,5940.590529256581
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.3,6022.2812147867
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.35,6098.729192248863
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.4,6171.9416467015535
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.45,6243.40101508614
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.5,6314.331500983502
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.55,6385.864651382603
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.6,6459.171015434761
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.65,6535.600391783589
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.7,6616.877401325653
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.75,6705.43603821355
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.8,6805.093128479047
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.85,6922.653067092415
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.9,7072.7265420078165
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.95,7299.629940642258
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.975,7500.817953459268
