model,location,forecast_date,horizon,temporal_resolution,target_variable,target_end_date,type,quantile,value,location_name,population,geo_type,geo_value,abbreviation,full_location_name
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.01,10547.330858470084,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.025,10809.558636783142,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.05,11035.088992679724,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.1,11295.111049187404,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.15,11470.546696255655,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.2,11609.977387122311,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.25,11729.59650474178,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.3,11837.01816934831,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.35,11936.560350634563,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.4,12031.016146424086,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.45,12122.40322197847,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.5,12212.341389976333,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.55,12302.279557974196,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.6,12393.666633528579,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.65,12488.122429318102,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.7,12587.664610604355,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.75,12695.086275210886,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.8,12814.705392830354,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.85,12954.13608369701,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.9,13129.571730765261,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.95,13389.593787272941,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.975,13615.124143169523,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.99,13877.351921482581,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.01,9899.43634531336,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.025,10218.287337243813,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.05,10492.51678063331,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.1,10808.685766141367,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.15,11022.003479648027,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.2,11191.54163603399,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.25,11336.990278249457,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.3,11467.607654238214,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.35,11588.644118972135,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.4,11703.495887822935,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.45,11814.616303354776,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.5,11923.97494668009,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.55,12033.333590005403,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.6,12144.454005537244,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.65,12259.305774388044,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.7,12380.342239121965,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.75,12510.959615110722,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.8,12656.40825732619,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.85,12825.946413712152,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.9,13039.264127218812,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.95,13355.433112726869,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.975,13629.662556116366,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.99,13948.51354804682,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.01,9243.259545437653,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.025,9576.68851105824,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.05,9863.455816056974,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.1,10194.080153027064,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.15,10417.150823538223,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.2,10594.440320976331,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.25,10746.538923622047,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.3,10883.128169602833,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.35,11009.698461870912,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.4,11129.801291897453,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.45,11246.002169886857,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.5,11360.360726856889,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.55,11474.71928382692,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.6,11590.920161816324,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.65,11711.022991842865,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.7,11837.593284110944,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.75,11974.18253009173,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.8,12126.281132737446,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.85,12303.570630175554,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.9,12526.641300686713,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.95,12857.265637656803,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.975,13144.032942655536,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.99,13477.461908276124,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.01,8770.173947704443,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.025,9109.520375945738,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.05,9401.377025252074,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.1,9737.869050267425,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.15,9964.898622045814,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.2,10145.33452871139,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.25,10300.132470312683,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.3,10439.145806102157,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.35,10567.962378839582,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.4,10690.196709367287,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.45,10808.459838759223,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-01-25,4,day,inc hosp,2021-01-29,quantile,0.5,10924.847950914926,United States,332875137,state,us,US,United States
