forecast_date,location,target,target_end_date,type,quantile,value
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.01,5535.176621789867
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.025,5726.702593478629
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.05,5895.364042330623
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.1,6094.413341040413
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.15,6231.529776799806
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.2,6342.145282980739
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.25,6438.211518055723
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.3,6525.408329658896
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.35,6606.997028291858
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.4,6685.121897471776
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.45,6761.366075408301
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.5,6837.0363521421
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.55,6913.340010492411
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.6,6991.525323028783
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.65,7073.031075263182
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.7,7159.694931070397
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.75,7254.1097328806145
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.8,7360.3406055547775
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.85,7485.633501277157
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.9,7645.545153727956
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.95,7887.2541359148345
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.975,8101.502380545508
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.99,8356.067297137883
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.01,5177.48243294768
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.025,5418.368624517058
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.05,5632.183468458052
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.1,5886.48324091127
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.15,6062.857638563602
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.2,6205.8374408814025
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.25,6330.503934183639
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.3,6444.050533225979
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.35,6550.625521352317
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.4,6652.971915435421
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.45,6753.130183438716
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.5,6852.800437370959
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.55,6953.569925459152
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.6,7057.097046553358
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.65,7165.31103395053
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.7,7280.694174261089
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.75,7406.768132600895
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.8,7549.076566654634
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.85,7717.531668876739
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.9,7933.47354514074
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.95,8261.828332875875
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.975,8554.789869368782
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.99,8905.140378163993
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.01,5040.517424303416
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.025,5298.770864819725
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.05,5528.711909715159
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.1,5803.017961888274
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.15,5993.7723860087835
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.2,6148.7011331568465
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.25,6283.993098835597
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.3,6407.381151225974
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.35,6523.332312668113
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.4,6634.807029137431
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.45,6744.014049317219
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.5,6852.800437370959
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.55,6962.897657238174
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.6,7076.122026660854
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.65,7194.593859317276
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.7,7321.048819123393
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.75,7459.375981141352
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.8,7615.706537751162
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.85,7801.015923341454
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.9,8038.957848260957
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.95,8401.584558509083
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.975,8725.924405965807
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.99,9114.746260796159
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.01,4916.653586653139
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.025,5190.260292088963
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.05,5434.5753229365055
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.1,5726.84817527266
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.15,5930.59700124738
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.2,6096.368991653826
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.25,6241.335275266979
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.3,6373.708991525944
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.35,6498.242238117413
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.4,6618.091060935937
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.45,6735.616689343391
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.5,6852.800437370959
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.55,6971.506615051015
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.6,7093.6980916703515
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.65,7221.673566595099
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.7,7358.406296727501
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.75,7508.130968542784
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.8,7677.532707805981
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.85,7878.591149870292
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.9,8137.148622263472
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.95,8532.011139992228
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.975,8885.9824962918
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.99,9311.27229005229
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.01,4803.208352134999
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.025,5090.572984863554
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.05,5347.8714345527
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.1,5656.490066724141
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.15,5872.130739644485
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.2,6047.865584367784
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.25,6201.748522268069
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.3,6342.4259948235385
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.35,6474.908445378882
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.4,6602.530180071123
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.45,6727.792354501341
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.5,6852.800437370959
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.55,6979.542547913566
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.6,7110.1190723416685
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.65,7246.997008105332
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.7,7393.374666375765
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.75,7553.815036014908
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.8,7735.530508823647
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.85,7951.458093098158
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.9,8229.529681488575
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.95,8655.010350894701
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.975,9037.228061807979
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.99,9497.401033794235
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.01,4698.300865185259
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.025,4998.121201494457
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.05,5267.265883152661
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.1,5590.902622087063
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.15,5817.531103799455
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.2,6002.506462149887
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.25,6164.6841379302905
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.3,6313.10546252542
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.35,6453.017354446798
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.4,6587.918187025379
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.45,6720.438762726432
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.5,6852.800437370959
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.55,6987.107737890462
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.6,7125.5911681924135
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.65,7270.877763853698
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.7,7426.380626661523
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.75,7596.9768854663
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.8,7790.384389952996
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.85,8020.4592504257
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.9,8317.142040091918
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.95,8771.916552627585
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.975,9181.248844163387
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.99,9675.013347585726
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.01,4600.552232404315
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.025,4911.7406318538
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.05,5191.779980926743
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.1,5529.3221748599035
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.15,5766.179997023598
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.2,5959.789449827497
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.25,6129.739526997872
