forecast_date,location,target,target_end_date,type,quantile,value
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.01,4804.59000186929
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.025,4970.8961309294755
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.05,5113.928576675744
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.1,5278.835826267112
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.15,5390.097964667485
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.2,5478.525585186537
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.25,5554.388609847255
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.3,5622.515950637924
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.35,5685.646084883888
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.4,5745.550408774019
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.45,5803.508535404814
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.5,5860.547757834685
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.55,5917.586980264557
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.6,5975.545106895352
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.65,6035.449430785483
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.7,6098.579565031447
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.75,6166.706905822116
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.8,6242.569930482834
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.85,6330.997551001886
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.9,6442.259689402259
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.95,6607.166938993627
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.975,6750.199384739895
2021-04-17,US,1  day ahead inc hosp,2021-04-18,quantile,0.99,6916.505513800081
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.01,5393.365769058858
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.025,5595.370398084358
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.05,5769.1055232109175
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.1,5969.41099580877
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.15,6104.556147218177
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.2,6211.965229369891
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.25,6304.112657970039
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.3,6386.86389678898
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.35,6463.545251954615
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.4,6536.308359320731
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.45,6606.70750777803
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.5,6675.990504333613
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.55,6745.273500889196
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.6,6815.672649346495
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.65,6888.435756712611
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.7,6965.117111878246
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.75,7047.8683506971865
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.8,7140.015779297335
2021-04-17,US,2  day ahead inc hosp,2021-04-19,quantile,0.85,7247.424861449049
