forecast_date,location,target,target_end_date,type,quantile,value
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.01,1641.9993426198703
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.025,1684.556837163023
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.05,1721.815692180285
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.1,1765.5360625288013
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.15,1795.5007826951605
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.2,1819.5865238314063
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.25,1840.4423622814882
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.3,1859.3238789899294
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.35,1876.949758843156
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.4,1893.7905870960753
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.45,1910.191901549544
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.5,1926.436965898315
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.55,1942.785426684572
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.6,1959.503621128788
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.65,1976.8963582082797
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.7,1995.350720963197
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.75,2015.4105102764947
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.8,2037.9256106295538
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.85,2064.407218443268
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.9,2098.092801373245
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.95,2148.7761218481105
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.975,2193.4751323688083
2021-06-12,US,1  day ahead inc hosp,2021-06-13,quantile,0.99,2246.3201693017745
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.01,1894.815199989633
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.025,1953.4849330115028
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.05,2005.0248229701117
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.1,2065.7053172197284
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.15,2107.4172200531907
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.2,2141.0164922277
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.25,2170.1604775018686
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.3,2196.585333611835
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.35,2221.2866344791546
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.4,2244.917830386221
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.45,2267.9602617460073
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.5,2290.8101055446996
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.55,2313.832176219863
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.6,2337.402433475969
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.65,2361.9529442997245
2021-06-12,US,2  day ahead inc hosp,2021-06-14,quantile,0.7,2388.0342552168436
