"forecast_date","location","target","target_end_date","type","quantile","value"
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.01,3242.27052273201
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.025,3311.58700437609
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.05,3372.0868622084
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.1,3442.86394872476
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.15,3491.24238057639
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.2,3530.05421422434
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.25,3563.60842764077
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.3,3593.94449590721
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.35,3622.22789256169
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.4,3649.22011693598
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.45,3675.47871793816
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.5,3701.45910676964
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.55,3727.57698601649
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.6,3754.25695473656
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.65,3781.98307244899
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.7,3811.36812972168
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.75,3843.27097835382
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.8,3879.03154247857
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.85,3921.02917491531
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.9,3974.35519390674
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.95,4054.39061322508
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.975,4124.78300704408
2022-05-21,"US","1  day ahead inc hosp",2022-05-22,"quantile",0.99,4207.77741276649
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.01,3839.13954294133
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.025,3941.40999105444
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.05,4030.99080984003
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.1,4136.15731308909
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.15,4208.26609718892
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.2,4266.24501394804
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.25,4316.4614296262
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.3,4361.93394917489
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.35,4404.3908478639
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.4,4444.96416376272
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.45,4484.48549941015
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.5,4523.63697441946
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.55,4563.04424845886
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.6,4603.34953381881
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.65,4645.28825278416
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.7,4689.79479018711
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.75,4738.18231861879
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.8,4792.50369987595
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.85,4856.40993023337
2022-05-21,"US","2  day ahead inc hosp",2022-05-23,"quantile",0.9,4937.72405649245
