forecast_date,location,target,target_end_date,type,quantile,value
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.01,2865.6214674074854
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.025,3210.8119544145284
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.05,3507.6948166636676
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.1,3849.981743303849
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.15,4080.9211076971515
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.2,4264.464393590114
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.25,4421.928189882212
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.3,4563.335545575731
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.35,4694.370534534543
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.4,4818.7099251169475
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.45,4939.009724473468
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.5,5057.402215960927
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.55,5175.794707448385
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.6,5296.094506804906
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.65,5420.43389738731
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.7,5551.468886346122
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.75,5692.8762420396415
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.8,5850.340038331739
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.85,6033.883324224702
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.9,6264.822688618005
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.95,6607.109615258186
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.975,6903.992477507325
2020-12-19,US,1  day ahead inc hosp,2020-12-20,quantile,0.99,7249.182964514368
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.01,1930.32526180266
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.025,2418.4983301301236
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.05,2838.354100358939
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.1,3322.420914236419
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.15,3649.0184954472015
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.2,3908.587899639515
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.25,4131.2753359385215
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.3,4331.255536179583
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.35,4516.566994710518
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.4,4692.409447209335
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.45,4862.539055010063
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.5,5029.9713221547445
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.55,5197.403589299426
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.6,5367.533197100154
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.65,5543.375649598971
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.7,5728.687108129906
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.75,5928.6673083709675
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.8,6151.354744669974
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.85,6410.924148862287
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.9,6737.52173007307
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.95,7221.58854395055
2020-12-19,US,2  day ahead inc hosp,2020-12-21,quantile,0.975,7641.444314179365
