forecast_date,location,target,target_end_date,type,quantile,value
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.01,3141.1298795305092
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.025,3322.5631456179653
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.05,3478.605763739579
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.1,3658.512908857684
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.15,3779.8954055577833
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.2,3876.3663660315706
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.25,3959.1298601808817
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.3,4033.454035840283
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.35,4102.326461105136
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.4,4167.679657632331
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.45,4230.9096315987745
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.5,4293.137118216512
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.55,4355.36460483425
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.6,4418.594578800693
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.65,4483.947775327888
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.7,4552.8202005927415
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.75,4627.144376252143
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.8,4709.907870401454
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.85,4806.378830875241
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.9,4927.76132757534
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.95,5107.668472693445
2021-03-05,US,1  day ahead inc hosp,2021-03-06,quantile,0.975,5263.711090815059
