forecast_date,location,target,target_end_date,type,quantile,value
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.01,5137.432870611297
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.025,5354.2895657230065
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.05,5540.798287040519
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.1,5755.830897975766
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.15,5900.912379704167
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.2,6016.218542205334
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.25,6115.140962575949
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.3,6203.97635339469
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.35,6286.295582108045
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.4,6364.408480142092
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.45,6439.9836129832365
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.5,6514.360530645767
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.55,6588.737448308297
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.6,6664.312581149441
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.65,6742.425479183488
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.7,6824.7447078968435
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.75,6913.580098715584
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.8,7012.502519086199
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.85,7127.808681587367
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.9,7272.8901633157675
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.95,7487.922774251014
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.975,7674.431495568527
2021-02-19,US,1  day ahead inc hosp,2021-02-20,quantile,0.99,7891.288190680235
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.01,4559.618437843238
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.025,4810.684217777152
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.05,5026.614639284023
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.1,5275.568586257498
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.15,5443.536632368989
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.2,5577.0323107229815
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.25,5691.559716070116
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.3,5794.4088656901085
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.35,5889.7139304003795
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.4,5980.149116907828
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.45,6067.646206451672
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.5,6153.756062697541
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.55,6239.86591894341
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.6,6327.363008487254
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.65,6417.7981949947025
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.7,6513.103259704973
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.75,6615.952409324966
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.8,6730.4798146721005
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.85,6863.975493026093
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.9,7031.943539137584
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.95,7280.897486111059
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.975,7496.82790761793
2021-02-19,US,2  day ahead inc hosp,2021-02-21,quantile,0.99,7747.893687551844
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.01,5367.392663102673
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.025,5620.292139683152
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.05,5837.799641467202
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.1,6088.57186099791
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.15,6257.766686971498
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.2,6392.23737107017
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.25,6507.601244530085
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.3,6611.201568367487
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.35,6707.202707937525
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.4,6798.298401417583
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.45,6886.434539101411
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.5,6973.173311620441
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.55,7059.9120841394715
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.6,7148.0482218233
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.65,7239.143915303358
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.7,7335.145054873396
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.75,7438.745378710798
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.8,7554.109252170712
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.85,7688.579936269385
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.9,7857.774762242972
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.95,8108.546981773681
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.975,8326.054483557731
2021-02-19,US,3  day ahead inc hosp,2021-02-22,quantile,0.99,8578.95396013821
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.01,5332.506322321664
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.025,5592.28794425022
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.05,5815.7144707069
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.1,6073.310946607793
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.15,6247.110065956113
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.2,6385.240096469955
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.25,6503.7433633197
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.3,6610.162959448202
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.35,6708.776574951506
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.4,6802.351252617655
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.45,6892.885836190577
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.5,6981.985028145271
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.55,7071.084220099965
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.6,7161.618803672887
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.65,7255.193481339036
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.7,7353.80709684234
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.75,7460.226692970842
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.8,7578.729959820587
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.85,7716.859990334428
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.9,7890.659109682749
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.95,8148.255585583642
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.975,8371.682112040322
2021-02-19,US,4  day ahead inc hosp,2021-02-23,quantile,0.99,8631.463733968878
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.01,5348.056297542182
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.025,5621.44608075086
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.05,5856.576376641687
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.1,6127.666549145239
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.15,6310.569801529905
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.2,6455.935508374144
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.25,6580.646341238533
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.3,6692.640523501078
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.35,6796.419823836984
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.4,6894.8962312558515
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.45,6990.173295091784
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.5,7083.939777076646
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.55,7177.706259061509
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.6,7272.983322897441
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.65,7371.459730316309
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.7,7475.239030652215
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.75,7587.23321291476
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.8,7711.944045779149
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.85,7857.309752623388
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.9,8040.213005008054
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.95,8311.303177511607
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.975,8546.433473402432
2021-02-19,US,5  day ahead inc hosp,2021-02-24,quantile,0.99,8819.823256611111
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.01,5000.196374769348
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.025,5294.180183089046
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.05,5547.0224767038
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.1,5838.533448237823
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.15,6035.214516780387
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.2,6191.530395141263
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.25,6325.6355001451675
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.3,6446.066029131183
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.35,6557.66286197338
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.4,6663.557343262547
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.45,6766.011479416664
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.5,6866.8412439496315
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.55,6967.671008482599
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.6,7070.125144636716
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.65,7176.019625925883
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.7,7287.61645876808
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.75,7408.046987754095
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.8,7542.1520927579995
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.85,7698.4679711188755
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.9,7895.14903966144
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.95,8186.660011195463
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.975,8439.502304810216
2021-02-19,US,6  day ahead inc hosp,2021-02-25,quantile,0.99,8733.486113129915
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.01,4705.228141724841
2021-02-19,US,7  day ahead inc hosp,2021-02-26,quantile,0.025,5026.054894231014
