forecast_date,location,target,target_end_date,type,quantile,value
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.01,966.9627117333098
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.025,1153.4069787628732
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.05,1313.7593341409354
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.1,1498.635330303392
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.15,1623.3702872134415
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.2,1722.5056767869467
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.25,1807.5550138585493
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.3,1883.931947109114
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.35,1954.7065582042171
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.4,2021.864743069161
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.45,2086.8410641413357
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.5,2150.7872101912203
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.55,2214.733356241105
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.6,2279.70967731328
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.65,2346.8678621782237
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.7,2417.6424732733267
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.75,2494.0194065238916
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.8,2579.0687435954937
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.85,2678.2041331689993
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.9,2802.9390900790486
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.95,2987.8150862415055
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.975,3148.1674416195674
2021-06-19,US,1  day ahead inc hosp,2021-06-20,quantile,0.99,3334.611708649131
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.01,649.0840267274409
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.025,890.1955841600586
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.05,1097.5648251625862
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.1,1336.6482793058476
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.15,1497.9567507650622
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.2,1626.1596102982385
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.25,1736.146248378637
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.3,1834.9176486547888
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.35,1926.444070891855
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.4,2013.2936952064858
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.45,2097.321711833405
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.5,2180.0174960028185
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.55,2262.713280172232
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.6,2346.7412967991513
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.65,2433.590921113782
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.7,2525.117343350848
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.75,2623.888743627
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.8,2733.8753817073984
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.85,2862.0782412405747
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.9,3023.3867126997893
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.95,3262.4701668430507
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.975,3469.839407845578
2021-06-19,US,2  day ahead inc hosp,2021-06-21,quantile,0.99,3710.950965278196
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.01,738.0597087920203
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.025,1003.8571907736195
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.05,1232.4576887580881
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.1,1496.019422469262
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.15,1673.8432729420545
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.2,1815.1720321670532
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.25,1936.4195234307656
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.3,2045.3035178968319
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.35,2146.20076572866
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.4,2241.9423871576864
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.45,2334.5735138990285
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.5,2425.7360091222886
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.55,2516.898504345549
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.6,2609.5296310868903
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.65,2705.2712525159172
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.7,2806.168500347745
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.75,2915.052494813812
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.8,3036.299986077524
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.85,3177.628745302523
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.9,3355.4525957753153
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.95,3619.014329486489
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.975,3847.6148274709576
2021-06-19,US,3  day ahead inc hosp,2021-06-22,quantile,0.99,4113.412309452557
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.01,504.148276983178
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.025,792.8031176369341
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.05,1041.062205071194
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.1,1327.2890334054568
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.15,1520.4049156176693
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.2,1673.887296901888
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.25,1805.561513713383
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.3,1923.8090299728585
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.35,2033.3829761899829
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.4,2137.357935890471
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.45,2237.9549126930983
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.5,2336.9569624344526
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.55,2435.959012175807
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.6,2536.5559889784345
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.65,2640.5309486789224
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.7,2750.104894896047
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.75,2868.352411155522
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.8,3000.0266279670172
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.85,3153.509009251236
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.9,3346.6248914634484
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.95,3632.851719797711
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.975,3881.110807231971
2021-06-19,US,4  day ahead inc hosp,2021-06-23,quantile,0.99,4169.765647885728
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.01,303.9994446785388
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.025,618.7671482052633
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.05,889.4847383012379
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.1,1201.604781874606
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.15,1412.1906934803276
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.2,1579.5577003153055
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.25,1723.1436895388508
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.3,1852.0883455731503
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.35,1971.574785984162
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.4,2084.955733329728
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.45,2194.6531120335776
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.5,2302.6112802421767
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.55,2410.569448450776
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.6,2520.2668271546254
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.65,2633.647774500191
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.7,2753.1342149112033
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.75,2882.078870945503
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.8,3025.6648601690476
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.85,3193.031867004026
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.9,3403.617778609748
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.95,3715.737822183116
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.975,3986.4554122790905
2021-06-19,US,5  day ahead inc hosp,2021-06-24,quantile,0.99,4301.223115805815
2021-06-19,US,6  day ahead inc hosp,2021-06-25,quantile,0.01,37.03358729268621
2021-06-19,US,6  day ahead inc hosp,2021-06-25,quantile,0.025,376.212702436733
2021-06-19,US,6  day ahead inc hosp,2021-06-25,quantile,0.05,667.9254532491291
2021-06-19,US,6  day ahead inc hosp,2021-06-25,quantile,0.1,1004.2515725167882
