forecast_date,location,target,target_end_date,type,quantile,value
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.01,4026.905974075512
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.025,4347.4766233947885
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.05,4623.185067008502
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.1,4941.059245054155
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.15,5155.527443870514
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.2,5325.979969509495
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.25,5472.2130591270725
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.3,5603.53489312729
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.35,5725.224143194062
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.4,5840.695341489718
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.45,5952.415062178056
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.5,6062.36350890303
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.55,6172.311955628004
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.6,6284.031676316343
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.65,6399.502874611999
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.7,6521.192124678771
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.75,6652.513958678988
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.8,6798.7470482965655
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.85,6969.199573935547
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.9,7183.667772751905
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.95,7501.5419507975585
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.975,7777.250394411272
2020-12-26,US,1  day ahead inc hosp,2020-12-27,quantile,0.99,8097.821043730549
2020-12-26,US,2  day ahead inc hosp,2020-12-28,quantile,0.01,2755.745949729661
2020-12-26,US,2  day ahead inc hosp,2020-12-28,quantile,0.025,3242.782879806093
2020-12-26,US,2  day ahead inc hosp,2020-12-28,quantile,0.05,3661.6615084606974
2020-12-26,US,2  day ahead inc hosp,2020-12-28,quantile,0.1,4144.601740683058
2020-12-26,US,2  day ahead inc hosp,2020-12-28,quantile,0.15,4470.439222599591
2020-12-26,US,2  day ahead inc hosp,2020-12-28,quantile,0.2,4729.404523968472
2020-12-26,US,2  day ahead inc hosp,2020-12-28,quantile,0.25,4951.573693835309
