"","forecast_date","location","target","target_end_date","type","quantile","value"
"1",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.01,9776.38889669281
"2",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.025,10014.0533057015
"3",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.05,10218.4578088876
"4",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.1,10454.1231102019
"5",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.15,10613.1253701751
"6",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.2,10739.4953259276
"7",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.25,10847.9094957691
"8",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.3,10945.2687709674
"9",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.35,11035.4866488712
"10",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.4,11121.0945925764
"11",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.45,11203.9212688439
"12",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.5,11285.4347594513
"13",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.55,11366.9482500588
"14",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.6,11449.7749263262
"15",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.65,11535.3828700314
"16",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.7,11625.6007479352
"17",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.75,11722.9600231336
"18",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.8,11831.3741929751
"19",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.85,11957.7441487276
"20",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.9,12116.7464087008
"21",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.95,12352.4117100151
"22",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.975,12556.8162132012
"23",2021-02-03,"US","1  day ahead inc hosp",2021-02-04,"quantile",0.99,12794.4806222099
"24",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.01,9206.43949860914
"25",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.025,9507.36066988047
"26",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.05,9766.16947835316
"27",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.1,10064.5594593996
"28",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.15,10265.881763002
"29",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.2,10425.8863478582
"30",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.25,10563.1560345865
"31",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.3,10686.4284557666
"32",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.35,10800.6587252531
"33",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.4,10909.0520803935
"34",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.45,11013.9239059178
"35",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.5,11117.1330282695
"36",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.55,11220.3421506212
"37",2021-02-03,"US","2  day ahead inc hosp",2021-02-05,"quantile",0.6,11325.2139761455
