"forecast_date","location","target","target_end_date","type","quantile","value"
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.01,2049.77723725892
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.025,2282.27676052404
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.05,2482.23917703495
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.1,2712.78303690123
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.15,2868.32988464358
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.2,2991.95358829378
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.25,3098.01171836235
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.3,3193.25519702824
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.35,3281.51247412798
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.4,3365.25999939768
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.45,3446.28669929834
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.5,3526.02875148427
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.55,3605.7708036702
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.6,3686.79750357086
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.65,3770.54502884056
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.7,3858.8023059403
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.75,3954.04578460619
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.8,4060.10391467477
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.85,4183.72761832497
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.9,4339.27446606731
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.95,4569.81832593359
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.975,4769.78074244451
2022-04-23,"US","1  day ahead inc hosp",2022-04-24,"quantile",0.99,5002.28026570962
2022-04-23,"US","2  day ahead inc hosp",2022-04-25,"quantile",0.01,1411.29721155456
2022-04-23,"US","2  day ahead inc hosp",2022-04-25,"quantile",0.025,1777.88512586817
2022-04-23,"US","2  day ahead inc hosp",2022-04-25,"quantile",0.05,2093.1709560514
2022-04-23,"US","2  day ahead inc hosp",2022-04-25,"quantile",0.1,2456.67532612195
2022-04-23,"US","2  day ahead inc hosp",2022-04-25,"quantile",0.15,2701.92999886768
2022-04-23,"US","2  day ahead inc hosp",2022-04-25,"quantile",0.2,2896.85063803465
2022-04-23,"US","2  day ahead inc hosp",2022-04-25,"quantile",0.25,3064.0751903771
2022-04-23,"US","2  day ahead inc hosp",2022-04-25,"quantile",0.3,3214.24800667268
