"","forecast_date","location","target","target_end_date","type","quantile","value"
"1",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.01,2372.93763470583
"2",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.025,2455.04106961972
"3",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.05,2527.34284956413
"4",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.1,2612.67119673726
"5",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.15,2671.45013983451
"6",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.2,2718.86865655791
"7",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.25,2760.05018650021
"8",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.3,2797.42956673762
"9",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.35,2832.40485499793
"10",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.4,2865.89526143693
"11",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.45,2898.57944405813
"12",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.5,2931.01759547929
"13",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.55,2963.72725094341
"14",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.6,2997.243516274
"15",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.65,3032.18316499096
"16",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.7,3069.33395953592
"17",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.75,3109.80738838759
"18",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.8,3155.34607064993
"19",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.85,3209.05616648513
"20",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.9,3277.60645943872
"21",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.95,3381.22121698461
"22",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.975,3473.06413679701
"23",2021-06-12,"US","1  day ahead inc hosp",2021-06-13,"quantile",0.99,3582.18971252291
"24",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.01,2328.27330737578
"25",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.025,2438.40951786606
"26",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.05,2536.21849192912
"27",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.1,2652.60537838035
"28",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.15,2733.36314731208
"29",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.2,2798.85077551943
"30",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.25,2855.96505774119
"31",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.3,2907.99638543573
"32",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.35,2956.84279147925
"33",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.4,3003.75980097492
"34",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.45,3049.68182836177
"35",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.5,3095.3878966204
"36",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.55,3141.60580321544
"37",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.6,3189.09647603971
"38",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.65,3238.74562568739
"39",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.7,3291.69339442577
"40",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.75,3349.55787662726
"41",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.8,3414.88684781931
"42",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.85,3492.23667599146
"43",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.9,3591.41853618415
"44",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.95,3742.28843964656
"45",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.975,3876.95167425748
"46",2021-06-12,"US","2  day ahead inc hosp",2021-06-14,"quantile",0.99,4038.05999428033
"47",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.01,2239.14016576575
"48",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.025,2359.55647822088
"49",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.05,2466.95006505534
"50",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.1,2595.27195029065
"51",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.15,2684.63459537429
"52",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.2,2757.28723235279
"53",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.25,2820.78332469949
"54",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.3,2878.73370770835
"55",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.35,2933.22617473368
"56",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.4,2985.64606365265
"57",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.45,3037.02861096528
"58",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.5,3088.24123488805
"59",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.55,3140.09883342944
"60",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.6,3193.45805756542
"61",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.65,3249.32078028103
"62",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.7,3308.98151217365
"63",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.75,3374.28253523068
"64",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.8,3448.13052590634
"65",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.85,3535.73189631199
"66",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.9,3648.31339318787
"67",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.95,3820.09500514093
"68",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.975,3973.94075122822
"69",2021-06-12,"US","3  day ahead inc hosp",2021-06-15,"quantile",0.99,4158.61039632318
"70",2021-06-12,"US","4  day ahead inc hosp",2021-06-16,"quantile",0.01,2134.50406683784
"71",2021-06-12,"US","4  day ahead inc hosp",2021-06-16,"quantile",0.025,2262.92003245502
"72",2021-06-12,"US","4  day ahead inc hosp",2021-06-16,"quantile",0.05,2377.9251232925
"73",2021-06-12,"US","4  day ahead inc hosp",2021-06-16,"quantile",0.1,2515.89791567212
"74",2021-06-12,"US","4  day ahead inc hosp",2021-06-16,"quantile",0.15,2612.32117036763
"75",2021-06-12,"US","4  day ahead inc hosp",2021-06-16,"quantile",0.2,2690.9108634926
