"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.01,7.87610694007189,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.025,10.1348702265213,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.05,12.7059873222814,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.1,16.697325628007,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.15,19.9374873058994,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.2,23.07811407245,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.25,25.8380487189658,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.3,28.3312190016539,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.35,30.6541549488088,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.4,32.8698505299377,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.45,35.0243676858057,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.5,37.1552776269777,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.55,39.2968279122279,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.6,41.4839559819046,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.65,43.7564547643345,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.7,46.1646709314865,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.75,48.7791512462916,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.8,51.7099644996082,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.85,55.1526228904646,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.9,59.5257129808946,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.95,66.0950082240289,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.975,71.880861847468,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",1,"day","inc hosp",2022-04-03,"quantile",0.99,78.715138060975,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.01,6.62664212803781,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.025,8.97719263005667,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.05,11.3059437155872,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.1,15.3004694215621,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.15,18.6919828262017,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.2,22.3697309523533,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.25,25.580940424296,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.3,28.4833289601795,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.35,31.1889221099097,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2022-04-02,"01",2,"day","inc hosp",2022-04-04,"quantile",0.4,33.7708877756829,"Alabama",4903185,"state","al","AL","Alabama"
