"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.01,45.2694273818674,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.025,52.547664788445,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.05,59.1960975255139,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.1,67.0085743242463,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.15,72.3715164244484,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.2,76.688043164145,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.25,80.4302812548603,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.3,83.8221684664859,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.35,86.992036545451,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.4,90.0240717549683,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.45,92.9802592435421,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.5,95.9115997454601,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.55,98.8650468780368,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.6,101.888986138326,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.65,105.039029359697,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.7,108.386053819796,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.75,112.029918277272,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.8,116.127043522111,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.85,120.956105128474,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.9,127.115267509888,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.95,136.418504306245,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.975,144.660977495399,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",1,"day","inc hosp",2021-10-03,"quantile",0.99,154.453223059639,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.01,42.1712747835504,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.025,49.7313849347351,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.05,56.8226889725512,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.1,65.429948352271,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.15,71.3440290482122,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.2,76.1075393222175,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.25,80.2397836616822,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.3,83.9871944986592,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.35,87.4910822498887,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.4,90.8442282381466,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.45,94.1150286787932,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.5,97.3598470402047,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.55,100.630667961086,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.6,103.981160662629,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.65,107.47311353744,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.7,111.18538449614,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.75,115.229194203019,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.8,119.778902172078,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.85,125.145347535496,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.9,131.996145848843,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.95,142.357417282384,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.975,151.550762814866,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",2,"day","inc hosp",2021-10-04,"quantile",0.99,162.489170026876,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.01,37.977812295856,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.025,45.9607239685161,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.05,53.5929359343473,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.1,62.9107127288259,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.15,69.3198454584107,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.2,74.4862763348563,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.25,78.9711265445097,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.3,83.0408174008635,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.35,86.8482301314783,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.4,90.4938437950768,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.45,94.051831924051,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.5,97.5834279949219,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.55,101.145224828422,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train1",2021-10-02,"01",3,"day","inc hosp",2021-10-05,"quantile",0.6,104.795772285191,"Alabama",4903185,"state","al","AL","Alabama"
