"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.01,70.7307343760392,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.025,81.1622110760648,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.05,90.2507672019983,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.1,100.867580964229,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.15,108.116601391129,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.2,113.928388524394,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.25,118.950633078066,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.3,123.489700561504,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.35,127.720574090321,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.4,131.757528716022,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.45,135.684193724189,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.5,139.568847126366,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.55,143.473788381726,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.6,147.462630641849,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.65,151.607882370753,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.7,156.001330754762,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.75,160.771628756277,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.8,166.119527061527,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.85,172.401601738669,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.9,180.381146157967,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.95,192.365503722366,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.975,202.916040612816,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",1,"day","inc hosp",2021-05-02,"quantile",0.99,215.370217880693,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",2,"day","inc hosp",2021-05-03,"quantile",0.01,68.2744546510878,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-train6.5",2021-05-01,"01",2,"day","inc hosp",2021-05-03,"quantile",0.025,79.9032512976151,"Alabama",4903185,"state","al","AL","Alabama"
