model,location,forecast_date,horizon,temporal_resolution,target_variable,target_end_date,type,quantile,value,location_name,population,geo_type,geo_value,abbreviation,full_location_name
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.01,11820.372477357196,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.025,12063.047016688855,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.05,12271.760508350937,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.1,12512.393797413622,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.15,12674.747935135118,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.2,12803.781857065258,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.25,12914.481472683052,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.3,13013.893148823283,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.35,13106.012882068597,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.4,13193.425500510044,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.45,13277.998220470137,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.5,13361.230071907168,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.55,13444.461923344199,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.6,13529.034643304292,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.65,13616.44726174574,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.7,13708.566994991053,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.75,13807.978671131285,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.8,13918.678286749078,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.85,14047.712208679219,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.9,14210.066346400714,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.95,14450.6996354634,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.975,14659.413127125481,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,1,day,inc hosp,2021-01-26,quantile,0.99,14902.08766645714,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.01,11365.410415044507,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.025,11663.858470906194,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.05,11920.540263690076,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.1,12216.477931869646,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.15,12416.145671623171,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.2,12574.835261583115,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.25,12710.97679977973,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.3,12833.236108711415,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.35,12946.527578715968,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.4,13054.03010495328,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.45,13158.040043204483,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.5,13260.400943180073,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.55,13362.761843155664,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.6,13466.771781406866,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.65,13574.274307644178,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.7,13687.565777648731,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.75,13809.825086580417,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.8,13945.966624777031,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.85,14104.656214736975,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.9,14304.323954490501,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.95,14600.26162267007,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.975,14856.943415453952,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,2,day,inc hosp,2021-01-27,quantile,0.99,15155.39147131564,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.01,10935.040459968917,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.025,11250.64323832388,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.05,11522.079038841439,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.1,11835.027133033904,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.15,12046.171726461153,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.2,12213.982755897305,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.25,12357.949676976135,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.3,12487.236421589674,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.35,12607.039858050743,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.4,12720.7216036487,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.45,12830.710008142849,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.5,12938.954588037792,United States,332875137,state,us,US,United States
Topmost8_arima_noTrans,US,2021-01-25,3,day,inc hosp,2021-01-28,quantile,0.55,13047.199167932735,United States,332875137,state,us,US,United States
