forecast_date,location,target,target_end_date,type,quantile,value
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.01,3904.187229399934
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.025,4130.315127872796
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.05,4324.797595553421
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.1,4549.023425375609
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.15,4700.307528242124
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.2,4820.543337396774
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.25,4923.694955652015
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.3,5016.328296880007
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.35,5102.16689265529
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.4,5183.619325871453
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.45,5262.425497649419
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.5,5339.982227347127
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.55,5417.538957044835
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.6,5496.345128822802
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.65,5577.797562038964
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.7,5663.636157814248
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.75,5756.26949904224
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.8,5859.42111729748
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.85,5979.65692645213
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.9,6130.941029318646
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.95,6355.166859140833
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.975,6549.649326821458
2021-03-22,US,1  day ahead inc hosp,2021-03-23,quantile,0.99,6775.7772252943205
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.01,3309.967984147507
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.025,3588.796731315892
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.05,3828.6048362681086
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.1,4105.088223034359
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.15,4291.630251477725
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.2,4439.887942181871
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.25,4567.079839690934
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.3,4681.302094684924
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.35,4787.146036455727
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.4,4887.581586694587
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.45,4984.754143881837
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.5,5080.386066887057
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.55,5176.017989892276
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.6,5273.190547079526
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.65,5373.626097318386
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.7,5479.470039089189
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.75,5593.692294083179
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.8,5720.884191592242
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.85,5869.141882296388
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.9,6055.6839107397545
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.95,6332.167297506005
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.975,6571.975402458222
2021-03-22,US,2  day ahead inc hosp,2021-03-24,quantile,0.99,6850.804149626606
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.01,2776.8791367943854
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.025,3068.0168586033515
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.05,3318.411360806351
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.1,3607.100185608703
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.15,3801.8771651495817
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.2,3956.679733932767
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.25,4089.4865540666515
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.3,4208.75118311421
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.35,4319.2676359096
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.4,4424.136942184943
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.45,4525.599209648932
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.5,4625.452831195122
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.55,4725.306452741312
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.6,4826.7687202053
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.65,4931.638026480643
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.7,5042.154479276033
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.75,5161.419108323592
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.8,5294.225928457477
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.85,5449.028497240662
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.9,5643.80547678154
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.95,5932.494301583893
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.975,6182.888803786892
2021-03-22,US,3  day ahead inc hosp,2021-03-25,quantile,0.99,6474.026525595858
2021-03-22,US,4  day ahead inc hosp,2021-03-26,quantile,0.01,2766.6742588828092
2021-03-22,US,4  day ahead inc hosp,2021-03-26,quantile,0.025,3062.018699771056
2021-03-22,US,4  day ahead inc hosp,2021-03-26,quantile,0.05,3316.0312124579586
2021-03-22,US,4  day ahead inc hosp,2021-03-26,quantile,0.1,3608.8913716367892
2021-03-22,US,4  day ahead inc hosp,2021-03-26,quantile,0.15,3806.4827306780226
2021-03-22,US,4  day ahead inc hosp,2021-03-26,quantile,0.2,3963.5220790704448
