forecast_date,location,target,target_end_date,type,quantile,value
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.01,6275.141258628243
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.025,6562.522059398824
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.05,6809.685402247491
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.1,7094.648907250309
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.15,7286.912431208436
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.2,7439.717385172615
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.25,7570.810429662787
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.3,7688.53603521583
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.35,7797.626353383201
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.4,7901.1423973585615
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.45,8001.295367886141
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.5,8099.860450904191
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.55,8198.42553392224
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.6,8298.578504449819
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.65,8402.09454842518
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.7,8511.18486659255
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.75,8628.910472145595
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.8,8760.003516635767
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.85,8912.808470599946
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.9,9105.071994558071
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.95,9390.03549956089
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.975,9637.198842409558
2021-02-22,US,1  day ahead inc hosp,2021-02-23,quantile,0.99,9924.57964318014
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.01,5442.327695783023
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.025,5825.052767885023
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.05,6154.2174440188455
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.1,6533.723234615162
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.15,6789.773989822716
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.2,6993.2750130875575
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.25,7167.860770974095
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.3,7324.644177355891
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.35,7469.927368767023
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.4,7607.786910141924
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.45,7741.167611857614
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.5,7872.433612939355
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.55,8003.699614021096
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.6,8137.080315736786
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.65,8274.939857111687
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.7,8420.22304852282
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.75,8577.006454904615
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.8,8751.592212791153
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.85,8955.093236055993
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.9,9211.143991263547
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.95,9590.649781859865
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.975,9919.814457993689
2021-02-22,US,2  day ahead inc hosp,2021-02-24,quantile,0.99,10302.539530095688
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.01,5234.503018626664
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.025,5649.959056892607
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.05,6007.274169625029
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.1,6419.235610756093
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.15,6697.184039295895
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.2,6918.088639154836
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.25,7107.605116115267
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.3,7277.796769678692
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.35,7435.504700331888
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.4,7585.154104229608
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.45,7729.941634379093
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.5,7872.433612939355
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.55,8014.925591499617
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.6,8159.7131216491025
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.65,8309.362525546821
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.7,8467.070456200017
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.75,8637.262109763444
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.8,8826.778586723874
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.85,9047.683186582815
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.9,9325.631615122616
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.95,9737.593056253681
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.975,10094.908168986101
2021-02-22,US,3  day ahead inc hosp,2021-02-25,quantile,0.99,10510.364207252045
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.01,5041.896407350353
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.025,5487.686670420089
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.05,5871.090889958271
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.1,6313.131400388515
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.15,6611.374034183772
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.2,6848.407825040351
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.25,7051.761711706356
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.3,7234.379786848512
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.35,7403.602649001423
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.4,7564.178596844765
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.45,7719.537684713503
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.5,7872.433612939355
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.55,8025.329541165207
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.6,8180.688629033945
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.65,8341.264576877287
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.7,8510.4874390302
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.75,8693.105514172354
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.8,8896.45940083836
2021-02-22,US,4  day ahead inc hosp,2021-02-26,quantile,0.85,9133.493191694939
