forecast_date,target,target_end_date,location,type,quantile,value
2021-03-01,inc hosp,2021-03-02,US,quantile,0.01,6002.7950696021
2021-03-01,inc hosp,2021-03-02,US,quantile,0.025,6287.392001357228
2021-03-01,inc hosp,2021-03-02,US,quantile,0.05,6532.161063272487
2021-03-01,inc hosp,2021-03-02,US,quantile,0.1,6814.3641156981485
2021-03-01,inc hosp,2021-03-02,US,quantile,0.15,7004.765175407747
2021-03-01,inc hosp,2021-03-02,US,quantile,0.2,7156.089901828513
2021-03-01,inc hosp,2021-03-02,US,quantile,0.25,7285.913042888397
2021-03-01,inc hosp,2021-03-02,US,quantile,0.3,7402.498235913024
2021-03-01,inc hosp,2021-03-02,US,quantile,0.35,7510.531791917378
2021-03-01,inc hosp,2021-03-02,US,quantile,0.4,7613.045071941032
2021-03-01,inc hosp,2021-03-02,US,quantile,0.45,7712.227856740443
2021-03-01,inc hosp,2021-03-02,US,quantile,0.5,7809.838135958504
2021-03-01,inc hosp,2021-03-02,US,quantile,0.55,7907.448415176565
2021-03-01,inc hosp,2021-03-02,US,quantile,0.6,8006.631199975976
2021-03-01,inc hosp,2021-03-02,US,quantile,0.65,8109.14447999963
2021-03-01,inc hosp,2021-03-02,US,quantile,0.7,8217.178036003983
2021-03-01,inc hosp,2021-03-02,US,quantile,0.75,8333.76322902861
2021-03-01,inc hosp,2021-03-02,US,quantile,0.8,8463.586370088495
2021-03-01,inc hosp,2021-03-02,US,quantile,0.85,8614.91109650926
2021-03-01,inc hosp,2021-03-02,US,quantile,0.9,8805.312156218859
2021-03-01,inc hosp,2021-03-02,US,quantile,0.95,9087.51520864452
2021-03-01,inc hosp,2021-03-02,US,quantile,0.975,9332.28427055978
2021-03-01,inc hosp,2021-03-02,US,quantile,0.99,9616.881202314908
2021-03-01,inc hosp,2021-03-03,US,quantile,0.01,5228.210092495439
2021-03-01,inc hosp,2021-03-03,US,quantile,0.025,5607.983080673624
2021-03-01,inc hosp,2021-03-03,US,quantile,0.05,5934.60880177279
2021-03-01,inc hosp,2021-03-03,US,quantile,0.1,6311.187339818702
2021-03-01,inc hosp,2021-03-03,US,quantile,0.15,6565.26309162766
2021-03-01,inc hosp,2021-03-03,US,quantile,0.2,6767.1944448001805
2021-03-01,inc hosp,2021-03-03,US,quantile,0.25,6940.433565513581
2021-03-01,inc hosp,2021-03-03,US,quantile,0.3,7096.007650094328
2021-03-01,inc hosp,2021-03-03,US,quantile,0.35,7240.170224631813
2021-03-01,inc hosp,2021-03-03,US,quantile,0.4,7376.966410178985
2021-03-01,inc hosp,2021-03-03,US,quantile,0.45,7509.318302825232
2021-03-01,inc hosp,2021-03-03,US,quantile,0.5,7639.571806216636
2021-03-01,inc hosp,2021-03-03,US,quantile,0.55,7769.825309608041
2021-03-01,inc hosp,2021-03-03,US,quantile,0.6,7902.177202254287
2021-03-01,inc hosp,2021-03-03,US,quantile,0.65,8038.9733878014595
2021-03-01,inc hosp,2021-03-03,US,quantile,0.7,8183.135962338944
2021-03-01,inc hosp,2021-03-03,US,quantile,0.75,8338.710046919692
2021-03-01,inc hosp,2021-03-03,US,quantile,0.8,8511.94916763309
2021-03-01,inc hosp,2021-03-03,US,quantile,0.85,8713.880520805611
2021-03-01,inc hosp,2021-03-03,US,quantile,0.9,8967.95627261457
2021-03-01,inc hosp,2021-03-03,US,quantile,0.95,9344.534810660483
2021-03-01,inc hosp,2021-03-03,US,quantile,0.975,9671.160531759648
2021-03-01,inc hosp,2021-03-03,US,quantile,0.99,10050.933519937833
2021-03-01,inc hosp,2021-03-04,US,quantile,0.01,5019.653117447504
2021-03-01,inc hosp,2021-03-04,US,quantile,0.025,5432.272403702276
2021-03-01,inc hosp,2021-03-04,US,quantile,0.05,5787.147753207531
2021-03-01,inc hosp,2021-03-04,US,quantile,0.1,6196.296303589597
2021-03-01,inc hosp,2021-03-04,US,quantile,0.15,6472.346888095279
2021-03-01,inc hosp,2021-03-04,US,quantile,0.2,6691.74314167878
2021-03-01,inc hosp,2021-03-04,US,quantile,0.25,6879.965591840585
2021-03-01,inc hosp,2021-03-04,US,quantile,0.3,7048.995169345262
2021-03-01,inc hosp,2021-03-04,US,quantile,0.35,7205.6262633460765
2021-03-01,inc hosp,2021-03-04,US,quantile,0.4,7354.253854564771
2021-03-01,inc hosp,2021-03-04,US,quantile,0.45,7498.05276912196
2021-03-01,inc hosp,2021-03-04,US,quantile,0.5,7639.571806216636
2021-03-01,inc hosp,2021-03-04,US,quantile,0.55,7781.090843311313
2021-03-01,inc hosp,2021-03-04,US,quantile,0.6,7924.889757868501
2021-03-01,inc hosp,2021-03-04,US,quantile,0.65,8073.517349087196
2021-03-01,inc hosp,2021-03-04,US,quantile,0.7,8230.14844308801
2021-03-01,inc hosp,2021-03-04,US,quantile,0.75,8399.178020592688
2021-03-01,inc hosp,2021-03-04,US,quantile,0.8,8587.400470754492
2021-03-01,inc hosp,2021-03-04,US,quantile,0.85,8806.796724337994
2021-03-01,inc hosp,2021-03-04,US,quantile,0.9,9082.847308843677
2021-03-01,inc hosp,2021-03-04,US,quantile,0.95,9491.99585922574
2021-03-01,inc hosp,2021-03-04,US,quantile,0.975,9846.871208730996
2021-03-01,inc hosp,2021-03-04,US,quantile,0.99,10259.490494985768
2021-03-01,inc hosp,2021-03-05,US,quantile,0.01,4826.516073188386
2021-03-01,inc hosp,2021-03-05,US,quantile,0.025,5269.553123816217
2021-03-01,inc hosp,2021-03-05,US,quantile,0.05,5650.5894287655
2021-03-01,inc hosp,2021-03-05,US,quantile,0.1,6089.899885325204
2021-03-01,inc hosp,2021-03-05,US,quantile,0.15,6386.300564734967
2021-03-01,inc hosp,2021-03-05,US,quantile,0.2,6621.870428637098
2021-03-01,inc hosp,2021-03-05,US,quantile,0.25,6823.968396326714
2021-03-01,inc hosp,2021-03-05,US,quantile,0.3,7005.458617412265
2021-03-01,inc hosp,2021-03-05,US,quantile,0.35,7173.6363546978755
2021-03-01,inc hosp,2021-03-05,US,quantile,0.4,7333.220581245134
2021-03-01,inc hosp,2021-03-05,US,quantile,0.45,7487.620167282815
2021-03-01,inc hosp,2021-03-05,US,quantile,0.5,7639.571806216636
2021-03-01,inc hosp,2021-03-05,US,quantile,0.55,7791.5234451504575
2021-03-01,inc hosp,2021-03-05,US,quantile,0.6,7945.923031188138
