model,location,forecast_date,horizon,temporal_resolution,target_variable,target_end_date,type,quantile,value,location_name,population,geo_type,geo_value,abbreviation,full_location_name
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.01,5240.376604631296,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.025,5481.620189506749,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.05,5689.102981393788,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.1,5928.31735243465,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.15,6089.714152903147,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.2,6217.987213532813,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.25,6328.034077903178,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.3,6426.85956324909,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.35,6518.436103363576,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.4,6605.333284642839,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.45,6689.407313183414,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.5,6772.148379764974,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.55,6854.889446346535,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.6,6938.963474887109,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.65,7025.860656166374,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.7,7117.437196280859,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.75,7216.262681626771,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.8,7326.309545997135,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.85,7454.582606626802,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.9,7615.9794070952985,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.95,7855.193778136161,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.975,8062.6765700232,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,1,day,inc hosp,2021-05-11,quantile,0.99,8303.920154898653,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.01,4577.811596411792,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.025,4902.203767062329,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.05,5181.19892984611,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.1,5502.862484600573,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.15,5719.887357892258,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.2,5892.371847356,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.25,6040.348181005731,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.3,6173.235502024046,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.35,6296.375409117288,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.4,6413.223139071005,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.45,6526.274670068989,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.5,6637.533811754311,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.55,6748.7929534396335,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.6,6861.844484437615,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.65,6978.692214391334,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.7,7101.832121484576,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.75,7234.71944250289,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.8,7382.695776152621,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.85,7555.180265616364,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.9,7772.205138908048,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.95,8093.868693662511,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.975,8372.863856446293,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,2,day,inc hosp,2021-05-12,quantile,0.99,8697.256027096828,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.01,4430.783936843141,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.025,4791.672165410197,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.05,5102.055951411874,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.1,5459.9085784870695,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.15,5701.350047065547,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.2,5893.24007244141,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.25,6057.86462800206,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.3,6205.702566831307,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.35,6342.696449413837,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.4,6472.690247323673,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.45,6598.460751207405,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.5,6722.237211268651,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.55,6846.013671329896,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.6,6971.784175213628,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.65,7101.777973123464,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.7,7238.771855705994,United States,332875137,state,us,US,United States
Multiple3_arima_noTrans,US,2021-05-10,3,day,inc hosp,2021-05-13,quantile,0.75,7386.609794535241,United States,332875137,state,us,US,United States
