"","forecast_date","location","target","target_end_date","type","quantile","value"
"1",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.01,3523.76095973948
"2",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.025,3655.13069206813
"3",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.05,3771.02450972044
"4",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.1,3908.03900750574
"5",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.15,4002.56843763115
"6",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.2,4078.91218804906
"7",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.25,4145.2741939419
"8",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.3,4205.55646048682
"9",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.35,4262.00165307933
"10",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.4,4316.08618676354
"11",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.45,4368.90195202363
"12",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.5,4421.35214792514
"13",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.55,4474.27319461571
"14",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.6,4528.53198482168
"15",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.65,4585.12984575024
"16",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.7,4645.34788802637
"17",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.75,4710.99599701262
"18",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.8,4784.91441822818
"19",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.85,4872.16945661801
"20",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.9,4983.64522471539
"21",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.95,5152.374260982
"22",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.975,5302.15963100805
"23",2021-05-08,"US","1  day ahead inc hosp",2021-05-09,"quantile",0.99,5480.39727830362
"24",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.01,3271.0790001015
"25",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.025,3438.14257007665
"26",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.05,3586.87506331919
"27",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.1,3764.2857042058
"28",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.15,3887.64713331535
"29",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.2,3987.83351370586
"30",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.25,4075.31695630491
"31",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.3,4155.0993725073
"32",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.35,4230.0700301228
"33",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.4,4302.14359500726
"34",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.45,4372.74842729239
"35",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.5,4443.07884157504
"36",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.55,4514.25424912712
"37",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.6,4587.44875983253
"38",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.65,4664.03283086614
"39",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.7,4745.77448329749
"40",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.75,4835.18699713603
"41",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.8,4936.23239923337
"42",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.85,5056.00282601798
"43",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.9,5209.78235744851
"44",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.95,5444.1263498627
"45",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.975,5653.71016476106
"46",2021-05-08,"US","2  day ahead inc hosp",2021-05-10,"quantile",0.99,5904.94047808219
"47",2021-05-08,"US","3  day ahead inc hosp",2021-05-11,"quantile",0.01,3187.47607837964
"48",2021-05-08,"US","3  day ahead inc hosp",2021-05-11,"quantile",0.025,3365.06036541828
"49",2021-05-08,"US","3  day ahead inc hosp",2021-05-11,"quantile",0.05,3523.63954102283
"50",2021-05-08,"US","3  day ahead inc hosp",2021-05-11,"quantile",0.1,3713.35473428778
