forecast_date,location,target,target_end_date,type,quantile,value
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.01,1393.179570485774
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.025,1652.2200805101752
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.05,1875.0092098437192
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.1,2131.8708076830258
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.15,2305.1741082920357
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.2,2442.910077789647
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.25,2561.075275375324
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.3,2667.191274856224
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.35,2765.523562820579
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.4,2858.831288163347
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.45,2949.1075922739824
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.5,3037.9525996896855
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.55,3126.7976071053886
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.6,3217.073911216024
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.65,3310.381636558792
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.7,3408.713924523147
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.75,3514.829924004047
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.8,3632.995121589724
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.85,3770.7310910873352
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.9,3944.034391696345
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.95,4200.895989535652
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.975,4423.685118869196
2022-05-07,US,1  day ahead inc hosp,2022-05-08,quantile,0.99,4682.725628893597
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.01,547.0635022680895
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.025,951.9222062163567
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.05,1300.1230268032407
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.1,1701.5762728052143
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.15,1972.4348719791867
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.2,2187.704700210332
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.25,2372.3870448436933
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.3,2538.237498172268
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.35,2691.9226598397095
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.4,2837.7548493573845
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.45,2978.8491804179152
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.5,3117.7065141654725
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.55,3256.56384791303
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.6,3397.6581789735606
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.65,3543.4903684912356
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.7,3697.1755301586772
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.75,3863.025983487252
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.8,4047.7083281206133
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.85,4262.978156351758
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.9,4533.836755525731
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.95,4935.290001527705
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.975,5283.490822114589
2022-05-07,US,2  day ahead inc hosp,2022-05-09,quantile,0.99,5688.349526062855
2022-05-07,US,3  day ahead inc hosp,2022-05-10,quantile,0.01,77.58435132067507
2022-05-07,US,3  day ahead inc hosp,2022-05-10,quantile,0.025,563.493028680376
2022-05-07,US,3  day ahead inc hosp,2022-05-10,quantile,0.05,981.4012977552952
2022-05-07,US,3  day ahead inc hosp,2022-05-10,quantile,0.1,1463.22276752788
2022-05-07,US,3  day ahead inc hosp,2022-05-10,quantile,0.15,1788.3054257308856
2022-05-07,US,3  day ahead inc hosp,2022-05-10,quantile,0.2,2046.6708171406542
2022-05-07,US,3  day ahead inc hosp,2022-05-10,quantile,0.25,2268.3253176795683
2022-05-07,US,3  day ahead inc hosp,2022-05-10,quantile,0.3,2467.377909683845
