forecast_date,location,target,target_end_date,type,quantile,value
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.01,10231.388762415576
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.025,10487.756873693508
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.05,10708.247592674548
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.1,10962.459270576555
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.15,11133.974682784392
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.2,11270.289695257969
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.25,11387.235838241431
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.3,11492.257089013085
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.35,11589.574929148144
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.4,11681.92004270398
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.45,11771.265008770546
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.5,11859.193444155004
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.55,11947.121879539462
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.6,12036.466845606026
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.65,12128.811959161863
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.7,12226.129799296925
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.75,12331.151050068574
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.8,12448.09719305204
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.85,12584.412205525616
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.9,12755.927617733452
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.95,13010.13929563546
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.975,13230.6300146165
2021-01-23,US,1  day ahead inc hosp,2021-01-24,quantile,0.99,13486.998125894432
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.01,10266.264997709395
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.025,10578.626629486567
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.05,10847.274865140076
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.1,11157.009075570788
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.15,11365.98527688193
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.2,11532.072937003628
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.25,11674.56136066237
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.3,11802.520368897787
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.35,11921.09345973225
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.4,12033.60772764632
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.45,12142.466583970196
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.5,12249.59952425436
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.55,12356.732464538523
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.6,12465.591320862402
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.65,12578.105588776472
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.7,12696.678679610934
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.75,12824.637687846352
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.8,12967.126111505097
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.85,13133.213771626792
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.9,13342.189972937937
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.95,13651.924183368646
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.975,13920.572419022155
2021-01-23,US,2  day ahead inc hosp,2021-01-25,quantile,0.99,14232.934050799326
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.01,10581.79798436608
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.025,10910.242345975505
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.05,11192.72261653466
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.1,11518.404277354275
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.15,11738.14014773212
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.2,11912.779251739585
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.25,12062.604052817314
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.3,12197.151354715255
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.35,12321.82948148008
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.4,12440.136831479296
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.45,12554.600561763347
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.5,12667.24951284859
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.55,12779.898463933832
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.6,12894.362194217883
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.65,13012.6695442171
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.7,13137.347670981924
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.75,13271.894972879863
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.8,13421.719773957597
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.85,13596.358877965058
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.9,13816.094748342904
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.95,14141.77640916252
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.975,14424.256679721677
2021-01-23,US,3  day ahead inc hosp,2021-01-26,quantile,0.99,14752.7010413311
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.01,10722.04389439576
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.025,11058.179473604385
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.05,11347.274615606926
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.1,11680.582799558671
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.15,11905.464248886765
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.2,12084.192895925711
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.25,12237.52616078464
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.3,12375.22417159173
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.35,12502.82189971037
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.4,12623.899665885923
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.45,12741.043805882342
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.5,12856.330669796633
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.55,12971.617533710923
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.6,13088.761673707342
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.65,13209.839439882897
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.7,13337.437168001536
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.75,13475.135178808623
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.8,13628.468443667552
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.85,13807.1970907065
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.9,14032.078540034592
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.95,14365.38672398634
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.975,14654.481865988882
2021-01-23,US,4  day ahead inc hosp,2021-01-27,quantile,0.99,14990.617445197506
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.01,10527.506908845542
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.025,10877.371399876878
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.05,11178.274163441743
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.1,11525.195778848843
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.15,11759.262145749954
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.2,11945.290674108124
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.25,12104.886587145184
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.3,12248.208649571518
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.35,12381.017899666627
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.4,12507.040890562006
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.45,12628.969592705474
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.5,12748.9651613416
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.55,12868.960729977727
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.6,12990.889432121196
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.65,13116.912423016573
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.7,13249.721673111684
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.75,13393.043735538018
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.8,13552.639648575076
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.85,13738.668176933248
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.9,13972.734543834356
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.95,14319.656159241458
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.975,14620.558922806324
2021-01-23,US,5  day ahead inc hosp,2021-01-28,quantile,0.99,14970.42341383766
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.01,10046.97010338004
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.025,10428.34590740934
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.05,10756.350138564396
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.1,11134.518010419604
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.15,11389.666078204316
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.2,11592.449674121255
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.25,11766.419943224237
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.3,11922.650621655916
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.35,12067.421628248336
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.4,12204.79515631694
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.45,12337.705634534204
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.5,12468.508867333432
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.55,12599.31210013266
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.6,12732.222578349923
2021-01-23,US,6  day ahead inc hosp,2021-01-29,quantile,0.65,12869.596106418529
