"","forecast_date","location","target","target_end_date","type","quantile","value"
"1",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.01,15143.5780943965
"2",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.025,15327.632437566
"3",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.05,15485.9293265774
"4",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.1,15668.4355016592
"5",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.15,15791.5715515368
"6",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.2,15889.4361804874
"7",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.25,15973.3953180952
"8",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.3,16048.7932185332
"9",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.35,16118.6606098224
"10",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.4,16184.9579318088
"11",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.45,16249.1013580832
"12",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.5,16312.2278145678
"13",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.55,16375.3542710523
"14",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.6,16439.4976973268
"15",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.65,16505.7950193132
"16",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.7,16575.6624106024
"17",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.75,16651.0603110404
"18",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.8,16735.0194486482
"19",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.85,16832.8840775987
"20",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.9,16956.0201274764
"21",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.95,17138.5263025581
"22",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.975,17296.8231915695
"23",2021-01-13,"US","1  day ahead inc hosp",2021-01-14,"quantile",0.99,17480.877534739
"24",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.01,14431.0988073618
"25",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.025,14657.2580608979
"26",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.05,14851.7674956627
"27",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.1,15076.0244168058
"28",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.15,15227.329496839
"29",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.2,15347.5819779807
"30",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.25,15450.7478993163
"31",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.3,15543.3940851526
"32",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.35,15629.2445833716
"33",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.4,15710.708310843
"34",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.45,15789.5254099436
"35",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.5,15867.0928937153
"36",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.55,15944.6603774871
"37",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.6,16023.4774765876
"38",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.65,16104.941204059
"39",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.7,16190.791702278
"40",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.75,16283.4378881143
"41",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.8,16386.6038094499
"42",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.85,16506.8562905916
"43",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.9,16658.1613706248
"44",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.95,16882.4182917679
"45",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.975,17076.9277265327
"46",2021-01-13,"US","2  day ahead inc hosp",2021-01-15,"quantile",0.99,17303.0869800688
"47",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.01,14254.6294734018
"48",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.025,14496.3941941069
"49",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.05,14704.3251915574
"50",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.1,14944.056314908
"51",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.15,15105.8017657067
"52",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.2,15234.3519225663
"53",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.25,15344.6365108288
"54",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.3,15443.6754795771
"55",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.35,15535.4498438792
"56",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.4,15622.5347409673
"57",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.45,15706.7903867254
"58",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.5,15789.710191052
"59",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.55,15872.6299953787
"60",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.6,15956.8856411367
"61",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.65,16043.9705382248
"62",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.7,16135.7449025269
"63",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.75,16234.7838712752
"64",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.8,16345.0684595377
"65",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.85,16473.6186163973
"66",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.9,16635.364067196
"67",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.95,16875.0951905466
"68",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.975,17083.0261879971
"69",2021-01-13,"US","3  day ahead inc hosp",2021-01-16,"quantile",0.99,17324.7909087022
"70",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.01,12823.6784294656
"71",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.025,13080.1006445667
"72",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.05,13300.6378958205
"73",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.1,13554.9032224529
"74",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.15,13726.4548312044
"75",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.2,13862.7986115434
"76",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.25,13979.7694347939
"77",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.3,14084.8128492082
"78",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.35,14182.1512272611
"79",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.4,14274.5158292926
"80",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.45,14363.8796506849
"81",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.5,14451.826642451
"82",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.55,14539.7736342172
"83",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.6,14629.1374556095
"84",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.65,14721.502057641
"85",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.7,14818.8404356939
"86",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.75,14923.8838501081
"87",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.8,15040.8546733586
"88",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.85,15177.1984536977
"89",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.9,15348.7500624492
"90",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.95,15603.0153890816
"91",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.975,15823.5526403353
"92",2021-01-13,"US","4  day ahead inc hosp",2021-01-17,"quantile",0.99,16079.9748554365
"93",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.01,15003.4986999651
"94",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.025,15273.7847051864
"95",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.05,15506.2455807793
"96",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.1,15774.2580826394
"97",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.15,15955.0848452522
"98",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.2,16098.8002238518
"99",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.25,16222.0952220304
"100",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.3,16332.8179409868
"101",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.35,16435.4190410837
"102",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.4,16532.7774516922
"103",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.45,16626.9728406756
"104",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.5,16719.6747973541
"105",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.55,16812.3767540325
"106",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.6,16906.5721430159
"107",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.65,17003.9305536244
"108",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.7,17106.5316537213
"109",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.75,17217.2543726777
"110",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.8,17340.5493708563
"111",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.85,17484.2647494559
"112",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.9,17665.0915120687
"113",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.95,17933.1040139288
"114",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.975,18165.5648895217
"115",2021-01-13,"US","5  day ahead inc hosp",2021-01-18,"quantile",0.99,18435.8508947431
"116",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.01,14793.2307857465
"117",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.025,15076.7033537906
"118",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.05,15320.5054008856
"119",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.1,15601.5935471549
"120",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.15,15791.2423849738
"121",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.2,15941.9692692817
"122",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.25,16071.2795150417
"123",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.3,16187.4041122353
"124",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.35,16295.0108575598
"125",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.4,16397.1191359861
"126",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.45,16495.910077053
"127",2021-01-13,"US","6  day ahead inc hosp",2021-01-19,"quantile",0.5,16593.1347250729
