"forecast_date","location","target","target_end_date","type","quantile","value"
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.01,7659.52337816326
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.025,7805.67023693622
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.05,7931.36459809152
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.1,8076.28214654787
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.15,8174.05732849376
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.2,8251.76594356801
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.25,8318.43301599544
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.3,8378.30210746775
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.35,8433.77974299509
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.4,8486.42259394072
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.45,8537.35516146137
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.5,8587.48021236651
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.55,8637.60526327164
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.6,8688.53783079229
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.65,8741.18068173793
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.7,8796.65831726526
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.75,8856.52740873758
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.8,8923.194481165
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.85,9000.90309623925
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.9,9098.67827818515
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.95,9243.59582664149
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.975,9369.29018779679
2021-09-25,"US","1  day ahead inc hosp",2021-09-26,"quantile",0.99,9515.43704656975
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.01,8407.22782472763
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.025,8592.10707015584
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.05,8751.11342061784
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.1,8934.43755931546
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.15,9058.12548536144
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.2,9156.42872799574
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.25,9240.76415708927
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.3,9316.49997891128
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.35,9386.68050472312
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.4,9453.27496074997
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.45,9517.70586764731
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.5,9581.11524685804
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.55,9644.52462606878
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.6,9708.95553296612
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.65,9775.54998899297
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.7,9845.73051480481
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.75,9921.46633662682
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.8,10005.8017657203
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.85,10104.1050083546
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.9,10227.7929344006
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.95,10411.1170730983
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.975,10570.1234235602
2021-09-25,"US","2  day ahead inc hosp",2021-09-27,"quantile",0.99,10755.0026689885
2021-09-25,"US","3  day ahead inc hosp",2021-09-28,"quantile",0.01,8344.12108353224
2021-09-25,"US","3  day ahead inc hosp",2021-09-28,"quantile",0.025,8549.60615319431
2021-09-25,"US","3  day ahead inc hosp",2021-09-28,"quantile",0.05,8726.3346492768
